HOLDING_ID	PAYOFF_PROFILE	EXPIRATION_DATE	NOTIONAL_AMOUNT	CURRENCY_CODE	UNREALIZED_APPRECIATION
134739415	Long	10-DEC-2024	28671315.66	EUR	629681.76
134741697	Long	31-DEC-2024	238583526.61	GBP	-1744736.16
135025694	Long	20-DEC-2024	6580856.34	USD	105531.16
135042511	Short	06-DEC-2024	-74201400.0	EUR	-436720.47
128885828	Long	27-SEP-2024	1639625.0	USD	-16048.76
128726682	Long	31-DEC-2024	721300598.44	USD	-2430071.72
134792930	Long	21-OCT-2024	11350847.88	EUR	148502.62
134792782	Short	17-MAR-2025	-319087.5	USD	-11850.0
134514104	Long	19-DEC-2024	52100038.47	USD	-562225.97
134526188	Short	20-DEC-2024	-22476771.69	USD	-489515.81
