ACCESSION_NUMBER	INTEREST_RATE_RISK_ID	CURRENCY_CODE	INTRST_RATE_CHANGE_3MON_DV01	INTRST_RATE_CHANGE_1YR_DV01	INTRST_RATE_CHANGE_5YR_DV01	INTRST_RATE_CHANGE_10YR_DV01	INTRST_RATE_CHANGE_30YR_DV01	INTRST_RATE_CHANGE_3MON_DV100	INTRST_RATE_CHANGE_1YR_DV100	INTRST_RATE_CHANGE_5YR_DV100	INTRST_RATE_CHANGE_10YR_DV100	INTRST_RATE_CHANGE_30YR_DV100
0001752724-24-232930	272895	CAD	-41.04	-3027.93	-6998.53	-1087.53	-236.12	-4096.37	-314741.97	-844699.0	-154990.26	-23040.36
0001752724-24-233117	272907	USD	-209.89	-3325.3	-15139.12	-26797.91	-8233.69	-21127.77	-341271.78	-1584599.62	-2901787.85	-914148.23
0001752724-24-233116	272908	USD	-335.09	-3686.54	-14190.36	-22271.56	-6506.14	-35211.77	-383851.35	-1497810.98	-2424147.74	-731904.37
0001398344-24-018350	272870	USD	0.0	1131.01	13238.09	6982.8	-54.35	0.0	-5171.26	-194243.8	-234956.92	-6857.59
0001752724-24-230035	272891	USD	8803.12	-51471.24	-102763.49	-717.22	-0.02	995617.4	-4900555.42	-12378927.72	-909112.25	-0.02
0001752724-24-235647	273101	CLP	107.84	-640.78	-4476.05	-13840.5	0.0	10795.75	-63678.22	-441855.37	-1332500.32	0.0
0001752724-24-235731	273142	USD	-1980.7361	-103.4687	24551.2696	46988.0101	60672.6793	-198073.6074	-10346.8656	2455126.9554	4698801.0137	6067267.9277
0001752724-24-236422	273193	USD	-382.74	-8041.01	-32087.93	-70097.89	-28217.24	-38649.17	-814908.12	-3355871.65	-7345012.4	-3159324.93
0001752724-24-242942	279303	USD	-158.8131603	59308.78784545	143466.40706455	151803.606732	202266.5856125	-15881.0808183	5930878.9658453	14346640.634658	15180360.3298989	20226658.4256611
0001752724-24-260641	280149	USD	5619.84	-32936.77	-22562.42	-600.95	5026.81	648532.43	-2700553.38	-2158155.34	-65624.51	447471.29
