HOLDING_ID	PUT_OR_CALL	WRITTEN_OR_PURCHASED	SHARES_CNT	PRINCIPAL_AMOUNT	CURRENCY_CODE	EXERCISE_PRICE	EXPIRATION_DATE	UNREALIZED_APPRECIATION
128746158	Call	Purchased	100.0			4.45	20-SEP-2024	15117869.37
128746357	Put	Purchased	100.0			499.53	21-FEB-2025	-7699746.09
134844421	Put	Written	16.0			5375.0	15-NOV-2024	-3698.06
128726814	Put	Written	1.0			2333.53	21-FEB-2025	2402231.56
129108747	Call	Purchased		30.0	USD	0.0	29-JUN-2027	229.2
137349393	Put	Purchased	100.0			1050.0	16-MAY-2025	-141217.46
134738397	Call	Written	100.0			21.5	18-OCT-2024	2599.87
134741590	Call	Purchased	1000000.0			97.0	13-JUN-2025	18666.5
135041510	Call	Purchased	1.0			7.1595	04-NOV-2024	-31220.2
134481735	Call	Written	100.0			55.0	18-OCT-2024	23426.69
